timestamp,station,temperature_c,feels_like_c,humidity_pct,wind_speed_ms,wind_gust_ms,solar_irradiance_wm2,pressure_hpa
2024-01-01T00:00,Bharati Station,-2.0,-8.5,59,23.3,31.7,36.0,972.7
2024-01-01T01:00,Bharati Station,-2.3,-9.4,60,26.9,36.0,200.0,972.6
2024-01-01T02:00,Bharati Station,-2.1,-8.9,61,24.6,34.2,240.0,972.8
2024-01-01T03:00,Bharati Station,-1.8,-8.2,60,22.2,31.0,81.0,973.0
2024-01-01T04:00,Bharati Station,-1.5,-7.6,58,20.1,28.1,125.0,973.0
2024-01-01T05:00,Bharati Station,-1.3,-7.0,56,18.1,25.2,305.0,972.8
2024-01-01T06:00,Bharati Station,-1.2,-5.8,56,16.3,22.7,601.0,972.7
2024-01-01T07:00,Bharati Station,-1.1,-4.8,57,12.4,19.8,687.0,972.6
2024-01-01T08:00,Bharati Station,-1.1,-3.8,63,7.3,14.8,692.0,972.5
2024-01-01T09:00,Bharati Station,-0.7,-2.8,46,0.8,8.6,665.0,972.5
2024-01-01T10:00,Bharati Station,-1.1,-4.2,66,6.8,7.2,608.0,972.3
2024-01-01T11:00,Bharati Station,-1.2,-5.3,71,10.5,12.2,523.0,972.0
2024-01-01T12:00,Bharati Station,-1.3,-5.7,73,10.5,13.3,401.0,971.7
2024-01-01T13:00,Bharati Station,-1.4,-5.2,80,7.1,7.9,342.0,972.2
2024-01-01T14:00,Bharati Station,-1.4,-5.5,72,8.5,9.7,241.0,972.0
2024-01-01T15:00,Bharati Station,-1.5,-6.1,63,10.2,12.2,117.0,971.8
2024-01-01T16:00,Bharati Station,-1.7,-6.8,56,13.4,15.8,69.0,971.9
2024-01-01T17:00,Bharati Station,-1.8,-7.7,53,18.0,22.0,39.0,971.9
2024-01-01T18:00,Bharati Station,-2.3,-8.7,56,21.6,26.6,22.0,972.1
2024-01-01T19:00,Bharati Station,-2.5,-9.3,54,23.8,29.9,11.0,972.3
2024-01-01T20:00,Bharati Station,-2.7,-10.1,54,28.1,35.6,12.0,972.6
2024-01-01T21:00,Bharati Station,-2.9,-10.5,55,29.6,38.5,24.0,972.7
2024-01-01T22:00,Bharati Station,-3.0,-10.6,54,29.6,38.9,54.0,973.0
2024-01-01T23:00,Bharati Station,-3.1,-10.9,51,30.4,40.0,105.0,973.2
2024-01-02T00:00,Bharati Station,-3.1,-10.8,51,29.8,39.6,178.0,973.4
2024-01-02T01:00,Bharati Station,-3.1,-11.3,50,32.4,44.3,219.0,973.3
2024-01-02T02:00,Bharati Station,-2.9,-10.7,50,29.8,42.5,333.0,973.4
2024-01-02T03:00,Bharati Station,-2.7,-10.1,49,26.9,38.9,448.0,973.6
2024-01-02T04:00,Bharati Station,-2.5,-9.0,48,23.1,34.6,520.0,973.8
2024-01-02T05:00,Bharati Station,-2.3,-7.9,48,19.2,29.9,566.0,974.0
2024-01-02T06:00,Bharati Station,-2.2,-6.7,47,15.1,24.8,657.0,973.9
2024-01-02T07:00,Bharati Station,-2.0,-5.7,46,10.9,19.8,699.0,974.0
2024-01-02T08:00,Bharati Station,-1.9,-5.0,45,7.3,14.4,701.0,973.9
2024-01-02T09:00,Bharati Station,-1.8,-4.5,44,4.0,10.1,676.0,973.9
2024-01-02T10:00,Bharati Station,-1.8,-4.6,44,2.6,6.5,624.0,973.7
2024-01-02T11:00,Bharati Station,-1.7,-5.1,46,3.2,5.0,551.0,973.6
2024-01-02T12:00,Bharati Station,-1.6,-5.4,49,3.2,5.0,464.0,973.4
2024-01-02T13:00,Bharati Station,-1.6,-5.8,68,8.1,9.7,366.0,973.4
2024-01-02T14:00,Bharati Station,-1.8,-6.0,67,8.1,9.7,269.0,973.3
2024-01-02T15:00,Bharati Station,-2.1,-6.6,62,9.4,11.9,179.0,973.3
2024-01-02T16:00,Bharati Station,-2.2,-7.4,57,13.1,16.2,106.0,973.3
2024-01-02T17:00,Bharati Station,-2.4,-8.1,52,16.0,20.5,53.0,973.4
2024-01-02T18:00,Bharati Station,-2.8,-9.1,50,19.9,24.8,24.0,973.4
2024-01-02T19:00,Bharati Station,-3.1,-9.7,51,22.5,28.8,12.0,973.5
2024-01-02T20:00,Bharati Station,-3.4,-10.5,53,25.2,32.4,12.0,973.8
2024-01-02T21:00,Bharati Station,-3.6,-10.7,53,25.6,33.8,23.0,973.8
2024-01-02T22:00,Bharati Station,-3.8,-11.0,50,25.6,33.8,52.0,974.0
2024-01-02T23:00,Bharati Station,-3.8,-11.0,49,25.7,33.8,106.0,973.9
