timestamp,station,temperature_c,feels_like_c,humidity_pct,wind_speed_ms,wind_gust_ms,solar_irradiance_wm2,pressure_hpa
2024-01-01T00:00,Maitri Station,-6.0,-13.4,56,26.9,45.7,8.0,963.2
2024-01-01T01:00,Maitri Station,-5.7,-12.7,55,23.8,41.4,25.0,962.7
2024-01-01T02:00,Maitri Station,-5.7,-12.4,55,22.1,40.7,27.0,962.3
2024-01-01T03:00,Maitri Station,-5.1,-11.4,55,20.0,38.2,15.0,961.9
2024-01-01T04:00,Maitri Station,-4.7,-11.8,54,24.9,42.1,26.0,962.0
2024-01-01T05:00,Maitri Station,-4.5,-11.8,56,27.2,46.8,70.0,962.1
2024-01-01T06:00,Maitri Station,-4.4,-11.9,57,28.5,48.6,207.0,962.6
2024-01-01T07:00,Maitri Station,-4.3,-12.0,57,30.0,50.8,318.0,963.1
2024-01-01T08:00,Maitri Station,-4.1,-11.8,56,31.5,53.6,381.0,963.4
2024-01-01T09:00,Maitri Station,-3.8,-11.2,55,31.6,54.4,415.0,963.7
2024-01-01T10:00,Maitri Station,-3.5,-10.5,55,31.4,54.4,589.0,963.8
2024-01-01T11:00,Maitri Station,-3.4,-10.4,55,32.4,54.7,652.0,963.9
2024-01-01T12:00,Maitri Station,-3.4,-10.3,56,32.2,55.1,686.0,964.2
2024-01-01T13:00,Maitri Station,-3.0,-9.3,58,28.2,50.0,668.0,963.9
2024-01-01T14:00,Maitri Station,-3.0,-9.2,59,26.1,47.9,626.0,964.5
2024-01-01T15:00,Maitri Station,-3.1,-9.2,60,23.9,44.6,560.0,965.1
2024-01-01T16:00,Maitri Station,-3.4,-9.5,61,20.8,41.0,479.0,965.4
2024-01-01T17:00,Maitri Station,-3.8,-9.7,63,18.2,36.0,390.0,965.8
2024-01-01T18:00,Maitri Station,-4.4,-10.1,64,16.8,31.3,298.0,966.1
2024-01-01T19:00,Maitri Station,-5.1,-10.8,62,16.6,28.8,211.0,966.6
2024-01-01T20:00,Maitri Station,-5.6,-11.5,59,17.5,28.8,136.0,967.0
2024-01-01T21:00,Maitri Station,-6.1,-12.1,55,17.1,28.8,78.0,967.4
2024-01-01T22:00,Maitri Station,-6.8,-12.6,52,15.3,28.1,34.0,967.7
2024-01-01T23:00,Maitri Station,-7.4,-12.9,51,13.0,24.5,11.0,968.0
2024-01-02T00:00,Maitri Station,-8.0,-13.3,52,11.4,20.9,5.0,968.5
2024-01-02T01:00,Maitri Station,-7.5,-12.6,55,10.1,21.2,12.0,967.8
2024-01-02T02:00,Maitri Station,-6.8,-11.5,48,7.9,15.1,34.0,968.3
2024-01-02T03:00,Maitri Station,-6.9,-11.5,49,6.8,11.2,84.0,968.4
2024-01-02T04:00,Maitri Station,-7.5,-12.1,58,7.2,11.2,137.0,968.5
2024-01-02T05:00,Maitri Station,-6.9,-11.6,59,8.6,12.6,183.0,969.0
2024-01-02T06:00,Maitri Station,-5.6,-10.4,56,9.4,14.0,248.0,969.4
2024-01-02T07:00,Maitri Station,-5.0,-9.5,61,8.3,13.7,317.0,969.8
2024-01-02T08:00,Maitri Station,-4.5,-8.2,65,5.9,11.5,401.0,970.3
2024-01-02T09:00,Maitri Station,-3.9,-6.6,62,3.0,8.3,518.0,970.9
2024-01-02T10:00,Maitri Station,-3.6,-5.5,60,0.8,4.3,567.0,971.1
2024-01-02T11:00,Maitri Station,-3.3,-5.0,60,1.1,3.2,610.0,971.2
2024-01-02T12:00,Maitri Station,-2.9,-5.2,57,4.3,6.1,595.0,971.4
2024-01-02T13:00,Maitri Station,-3.0,-5.0,57,2.3,5.0,661.0,970.8
2024-01-02T14:00,Maitri Station,-3.0,-5.3,50,1.6,5.0,617.0,970.9
2024-01-02T15:00,Maitri Station,-3.4,-5.9,72,1.5,4.0,551.0,970.8
2024-01-02T16:00,Maitri Station,-4.2,-7.6,74,3.4,5.4,468.0,970.6
2024-01-02T17:00,Maitri Station,-5.1,-8.9,77,4.7,7.2,380.0,970.3
2024-01-02T18:00,Maitri Station,-5.8,-10.2,78,8.5,11.9,291.0,970.1
2024-01-02T19:00,Maitri Station,-6.3,-11.2,74,11.0,16.2,205.0,970.1
2024-01-02T20:00,Maitri Station,-7.3,-12.2,67,9.7,16.2,133.0,970.1
2024-01-02T21:00,Maitri Station,-6.9,-11.6,54,7.4,14.4,77.0,970.3
2024-01-02T22:00,Maitri Station,-4.6,-8.9,39,4.8,10.8,41.0,970.4
2024-01-02T23:00,Maitri Station,-4.7,-9.0,37,4.4,6.8,24.0,970.5
2024-01-03T00:00,Maitri Station,-5.1,-9.5,36,5.1,6.8,20.0,970.4
2024-01-03T01:00,Maitri Station,-5.2,-9.3,40,3.3,10.1,29.0,970.0
2024-01-03T02:00,Maitri Station,-5.8,-9.7,41,1.8,5.0,54.0,970.0
2024-01-03T03:00,Maitri Station,-9.4,-14.2,59,7.6,9.7,99.0,969.5
2024-01-03T04:00,Maitri Station,-9.2,-14.4,61,10.8,14.8,165.0,969.2
2024-01-03T05:00,Maitri Station,-8.4,-13.3,62,9.8,15.1,245.0,969.2
2024-01-03T06:00,Maitri Station,-7.4,-12.1,63,8.0,13.7,334.0,969.0
2024-01-03T07:00,Maitri Station,-6.5,-10.7,64,5.8,10.8,423.0,968.9
2024-01-03T08:00,Maitri Station,-5.5,-9.0,62,4.0,8.3,497.0,969.1
2024-01-03T09:00,Maitri Station,-4.9,-7.5,51,1.3,5.4,563.0,969.1
2024-01-03T10:00,Maitri Station,-4.6,-6.6,53,0.4,3.2,618.0,968.9
2024-01-03T11:00,Maitri Station,-4.3,-6.2,55,1.5,4.3,659.0,968.6
2024-01-03T12:00,Maitri Station,-3.8,-5.8,56,3.0,6.1,666.0,968.4
2024-01-03T13:00,Maitri Station,-3.5,-6.3,65,7.6,12.2,661.0,967.3
2024-01-03T14:00,Maitri Station,-3.5,-6.5,68,7.6,12.2,616.0,967.2
2024-01-03T15:00,Maitri Station,-3.7,-6.9,71,6.2,11.9,557.0,966.9
2024-01-03T16:00,Maitri Station,-3.5,-6.8,59,2.3,8.6,480.0,966.7
2024-01-03T17:00,Maitri Station,-4.8,-8.7,69,5.1,8.3,388.0,966.4
2024-01-03T18:00,Maitri Station,-6.0,-10.4,73,7.4,11.9,294.0,966.2
2024-01-03T19:00,Maitri Station,-6.6,-11.4,68,9.7,15.1,207.0,966.1
2024-01-03T20:00,Maitri Station,-7.2,-12.4,63,11.8,18.0,133.0,966.1
2024-01-03T21:00,Maitri Station,-7.9,-13.2,60,12.0,18.4,77.0,966.0
2024-01-03T22:00,Maitri Station,-8.7,-14.0,57,11.9,18.4,41.0,965.7
2024-01-03T23:00,Maitri Station,-9.2,-14.4,54,10.2,17.6,24.0,965.5
2024-01-04T00:00,Maitri Station,-9.8,-15.2,52,11.6,16.9,22.0,965.2
2024-01-04T01:00,Maitri Station,-8.0,-13.4,53,12.5,16.9,30.0,964.3
2024-01-04T02:00,Maitri Station,-8.8,-14.5,59,14.8,20.9,55.0,964.2
2024-01-04T03:00,Maitri Station,-8.7,-14.3,61,14.3,21.2,101.0,963.8
2024-01-04T04:00,Maitri Station,-8.0,-13.5,60,13.2,20.2,166.0,963.5
